path,title,price
https://novamnm.com/product/blu-ray-little-fockers-no-slipcase/2188/?cate_no=122&display_group=1,BLU-RAY /  Little Fockers (no slipcase),15.79
https://novamnm.com/product/blu-ray-paranormal-activity-2-no-slipcase/2189/?cate_no=122&display_group=1,BLU-RAY /  Paranormal Activity 2 (no slipcase),15.79
https://novamnm.com/product/blu-ray-original-sin-plain-edition/1241/?cate_no=122&display_group=1,BLU-RAY / ORIGINAL SIN (PLAIN EDITION),15.29
https://novamnm.com/product/blu-ray-the-sense-of-an-ending-slipcase-first-edition-only/1232/?cate_no=122&display_group=1,"BLU-RAY / THE SENSE OF AN ENDING (slipcase, first edition only)",14.79
https://novamnm.com/product/blu-ray-buena-vista-social-club-plain-edition/1243/?cate_no=122&display_group=1,BLU-RAY / BUENA VISTA SOCIAL CLUB (PLAIN EDITION),13.79
https://novamnm.com/product/blu-ray-sakuran/1910/?cate_no=122&display_group=1,BLU-RAY /  Sakuran,12.79
https://novamnm.com/product/blu-ray-frances-ha-plain-edition/1417/?cate_no=122&display_group=1,BLU-RAY / FRANCES HA (PLAIN EDITION),13.79
https://novamnm.com/product/blu-ray-new-police-story-le-700-numbered/1001/?cate_no=122&display_group=1,BLU-RAY / NEW POLICE STORY LE (700 NUMBERED),15.29
https://novamnm.com/product/blu-ray-lets-play-dharma-700-copies-limited-edition-scanavo-keepcase-3/279/?cate_no=122&display_group=1,BLU-RAY / LET'S PLAY DHARMA 700 COPIES LIMITED EDITION (SCANAVO KEEPCASE +36P PHOTOBOOK),17.89
https://novamnm.com/product/blu-ray-who-are-u-le/1602/?cate_no=122&display_group=1,BLU-RAY / WHO ARE U? LE,17.89
https://novamnm.com/product/blu-ray-city-of-god-plain-edition/2401/?cate_no=122&display_group=1,BLU-RAY / CITY OF GOD (PLAIN EDITION),18.89
https://novamnm.com/product/blu-ray-mr-magoriums-wonder-emporium-777-copies-limited-edition-scanav/350/?cate_no=122&display_group=1,BLU-RAY / MR. MAGORIUM'S WONDER EMPORIUM 777 COPIES LIMITED EDITION (SCANAVO KEEPCASE +36P PHOTOBOOK),15.79
https://novamnm.com/product/blu-ray-the-journalist-first-release-limited-edition/2146/?cate_no=122&display_group=1,BLU-RAY / The Journalist First release limited edition,14.79
https://novamnm.com/product/blu-ray-one-way-trip-2disc/1005/?cate_no=122&display_group=1,BLU-RAY / ONE WAY TRIP (2Disc),18.89
https://novamnm.com/product/blu-ray-good-bye-lenin-plain-edition/2183/?cate_no=122&display_group=1,"BLU-RAY / Good Bye, Lenin! (Plain Edition)",13.79
https://novamnm.com/product/blu-ray-the-himalayas-2-disc/590/?cate_no=122&display_group=1,BLU-RAY / THE HIMALAYAS (2 Disc),18.89
https://novamnm.com/product/blu-ray-1987-2-disc/1603/?cate_no=122&display_group=1,BLU-RAY / 1987 (2 DISC),18.89
https://novamnm.com/product/blu-ray-veteran-2-disc/474/?cate_no=122&display_group=1,BLU-RAY / VETERAN (2 Disc),18.89
